label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
valve_turb;valve;[];[];[];[];[];[];nan;False;False;0.9990752329082944;False;False;8368.652807640072;False;False;0x0000020EB308DA88;False;m;2.47750446173347;False
valve_pre;valve;[];[];[];[];[];[];nan;False;False;1.0;True;False;0.0;False;False;0x0000020E8FF2D088;False;m;0.0;False
valve1;valve;[];[];[];[];[];[];nan;False;False;0.060450162358793795;False;False;3894088.45259608;False;False;0x0000020EB156EB48;False;m;126.25815589728585;False
