id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x0000020EB34F6D48;source;out1;valve_turb;in1;[];[];nan;False;False;4.327462338749677;kg / s;False;4.327462338749677;True;nan;nan;nan;False;100.0;bar;False;100.0;True;nan;nan;nan;False;3501.958852501496;kJ / kg;False;3501.958852501496;False;nan;nan;nan;False;550.0000000000016;C;False;550.0000000000016;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.15429337273313506;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x0000020EB34F6048;valve_turb;out1;turbine_hp;in1;['p'];[];nan;False;False;4.327462338749676;kg / s;False;4.327462338749676;False;nan;nan;nan;False;70.01741537903206;bar;False;70.01741537903206;False;nan;nan;nan;False;3501.958852501496;kJ / kg;False;3501.958852501496;False;nan;nan;nan;False;537.6047127711563;C;False;537.6047127711563;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.22078631844814156;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB34F6F08;turbine_hp;out1;splitter1;in1;['p'];[];nan;False;False;4.327462338749677;kg / s;False;4.327462338749677;False;nan;nan;nan;False;6.492139501423518;bar;False;6.492139501423518;False;nan;nan;nan;False;2910.07533235908;kJ / kg;False;2910.07533235908;False;nan;nan;nan;False;228.5155771430612;C;False;228.5155771430612;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.5010877524164221;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB15C8C08;splitter1;out1;valve_pre;in1;[];[];nan;False;False;0.6266673751880354;kg / s;False;0.6266673751880354;False;nan;nan;nan;False;6.492139501423518;bar;False;6.492139501423518;False;nan;nan;nan;False;2910.07533235908;kJ / kg;False;2910.07533235908;False;nan;nan;nan;False;228.5155771430612;C;False;228.5155771430612;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.21737513768993214;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB1310588;valve_pre;out1;preheater;in1;[];[];nan;False;False;0.6266673751880354;kg / s;False;0.6266673751880354;False;nan;nan;nan;False;6.492139501423518;bar;False;6.492139501423518;False;nan;nan;nan;False;2910.07533235908;kJ / kg;False;2910.07533235908;False;nan;nan;nan;False;228.5155771430612;C;False;228.5155771430612;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.21737513768993214;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB34FFE08;splitter1;out2;turbine_lp;in1;[];[];nan;False;False;3.700794963561642;kg / s;False;3.700794963561642;False;nan;nan;nan;False;6.492139501423518;bar;False;6.492139501423518;False;nan;nan;nan;False;2910.07533235908;kJ / kg;False;2910.07533235908;False;nan;nan;nan;False;228.5155771430612;C;False;228.5155771430612;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;1.2837126147264903;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB1D1C288;preheater;out1;valve1;in1;[];[];nan;False;False;0.6266673751880354;kg / s;False;0.6266673751880354;False;nan;nan;nan;False;6.4272181064092795;bar;False;6.4272181064092795;False;nan;nan;nan;False;682.1386651956846;kJ / kg;False;682.1386651956846;False;nan;nan;nan;False;161.5333029909387;C;False;161.5333029909387;False;nan;nan;nan;False;4.4724501666478416e-15;nan;False;nan;False;nan;nan;nan;False;0.0006917276205016773;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB3308C88;valve1;out1;merge1;in2;[];[];nan;False;False;0.6266673751880354;kg / s;False;0.6266673751880354;False;nan;nan;nan;False;0.45280445105854766;bar;False;0.45280445105854766;False;nan;nan;nan;False;682.1386651956846;kJ / kg;False;682.1386651956846;False;nan;nan;nan;False;78.86684284921085;C;False;78.86684284921085;False;nan;nan;nan;False;0.15227356580004447;nan;False;nan;False;nan;nan;nan;False;0.3398009516071824;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB12F5248;turbine_lp;out1;merge1;in1;[];[];nan;False;False;3.7007949635616417;kg / s;False;3.7007949635616417;False;nan;nan;nan;False;0.45280445105854766;bar;False;0.45280445105854766;False;nan;nan;nan;False;2489.015471564028;kJ / kg;False;2489.015471564028;False;nan;nan;nan;False;78.86684284921085;C;False;78.86684284921085;False;nan;nan;nan;False;0.9341794202011081;nan;False;nan;False;nan;nan;nan;False;12.291316466837435;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB12F80C8;merge1;out1;condenser;in1;[];[];nan;False;False;4.327462338749676;kg / s;False;4.327462338749676;False;nan;nan;nan;False;0.45280445105854766;bar;False;0.45280445105854766;False;nan;nan;nan;False;2227.3584871933344;kJ / kg;False;2227.3584871933344;False;nan;nan;nan;False;78.86684284921085;C;False;78.86684284921085;False;nan;nan;nan;False;0.8209502685493237;nan;False;nan;False;nan;nan;nan;False;12.631117418444614;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EA5BC2488;condenser;out1;pump;in1;[];[];nan;False;False;4.327462338749676;kg / s;False;4.327462338749676;False;nan;nan;nan;False;0.4482764065479624;bar;False;0.4482764065479624;False;nan;nan;nan;False;329.22205176374746;kJ / kg;False;329.22205176374746;False;nan;nan;nan;False;78.6206526205994;C;False;78.6206526205994;False;nan;nan;nan;False;-1.0549112833179651e-14;nan;False;nan;False;nan;nan;nan;False;0.004449283711747567;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB3087B08;pump;out1;preheater;in2;[];[];nan;False;False;4.327462338749675;kg / s;False;4.327462338749675;False;nan;nan;nan;False;105.77093773424572;bar;False;105.77093773424572;False;nan;nan;nan;False;343.9069033820291;kJ / kg;False;343.9069033820291;False;nan;nan;nan;False;80.12251747618478;C;False;80.12251747618478;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.004432282640900554;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020E8FF39648;preheater;out2;steam generator;in1;[];[];nan;False;False;4.327462338749677;kg / s;False;4.327462338749677;False;nan;nan;nan;False;105.26315789473685;bar;False;105.26315789473685;False;nan;nan;nan;False;666.5383011863734;kJ / kg;False;666.5383011863734;False;nan;nan;nan;False;156.55886982059735;C;False;156.55886982059735;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.004721635795827921;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB30877C8;steam generator;out1;sink;in1;[];[];nan;False;False;4.327462338749677;kg / s;False;4.327462338749677;False;nan;nan;nan;False;100.0;bar;False;100.0;False;0x0000020EB34F6D48;1.0;0.0;True;3501.958852501496;kJ / kg;False;3501.958852501496;False;0x0000020EB34F6D48;1.0;0.0;True;550.0000000000016;C;False;550.0000000000016;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.15429337273313506;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EA5BC2448;source_cw;out1;condenser;in2;[];[];nan;False;False;196.70194086960913;kg / s;False;196.70194086960913;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.0033099407841;kJ / kg;False;252.0033099407841;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.19998396023528275;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x0000020EB1CFF888;condenser;out2;sink_cw;in1;[];[];nan;False;False;196.70194086960913;kg / s;False;196.70194086960913;False;nan;nan;nan;False;8.83894131876832;bar;False;8.83894131876832;False;nan;nan;nan;False;293.76250103882774;kJ / kg;False;293.76250103882774;False;nan;nan;nan;False;69.99999999999255;C;False;69.99999999999255;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.20110413149681108;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
