label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
valve_turb;valve;[];[];[];[];[];[];nan;False;False;0.6004348062225482;False;False;7527475.428103803;False;False;0x0000020EB308DA88;False;m;829.7233408732505;False
valve_pre;valve;[];[];[];[];[];[];nan;False;False;1.0;True;False;0.0;False;False;0x0000020E8FF2D088;False;m;0.0;False
valve1;valve;[];[];[];[];[];[];nan;False;False;0.07638509928951727;False;False;9173298.282017978;False;False;0x0000020EB156EB48;False;m;47.91387524575566;False
