label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;pr;pr_set;pr_var;zeta;zeta_set;zeta_var;dp_char;dp_char_set;dp_char_param;Sirr;Sirr_set
valve_turb;valve;[];[];[];[];[];[];nan;False;False;0.7998557891999873;False;False;2514756.0228399425;False;False;0x0000020EB308DA88;False;m;481.17565777677834;False
valve_pre;valve;[];[];[];[];[];[];nan;False;False;1.0;True;False;0.0;False;False;0x0000020E8FF2D088;False;m;0.0;False
valve1;valve;[];[];[];[];[];[];nan;False;False;0.06612601677434234;False;False;5505073.573628755;False;False;0x0000020EB156EB48;False;m;83.98435167042112;False
