label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;cone;cone_set;cone_param;Sirr;Sirr_set
gas turbine;turbine;['power output'];[None];[-188187153.7505532];['0x000002990B6E53C8'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-163866613.42172828;False;False;0.8795109721023914;False;False;0.08226816731071661;False;False;0x000002990B6E3C88;True;m;0x000002990D7E5608;True;nan;26308.78846737438;False
steam turbine;turbine;['power output'];[None];[-27101425.921006475];['0x000002990B6E53C8'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-26207644.080492843;False;False;0.8498091221566078;False;False;0.008568015512540595;False;False;0x0000029907557788;True;m;0x0000029907557A48;True;nan;12599.763571489799;False
