label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign
chimney;sink;[];[];[];[];[];[];nan;False;False
district heating feedflow;sink;[];[];[];[];[];[];nan;False;False
