label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-23913958.16105147;False;False;204150.88109032137;True;False;117.138647814463;False;False;56.28619824795942;False;False;211.1667985935519;False;False;0.9917091456701009;False;False;0.8346020415119494;False;False;0.008347776797272154;True;False;113775.06950916487;True;False;0x000002990D7E5508;False;m;0x0000029906CB6E48;False;m;-27562.988026678544;False;36701.4563410642;False;9138.468314385656;False;nan;False
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-48614871.92897305;False;False;568054.8473585827;True;False;85.581299332325;False;False;211.1667985935519;False;False;23.590940211273164;False;False;0.9918406764646011;False;False;1.0;False;False;0.00965380779509922;True;False;0.0;False;False;0x0000029906014648;False;m;0x0000029906277708;False;m;-68003.56346664272;False;81673.78516938818;False;13670.22170274546;False;nan;False
economizer;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-15505800.048798697;False;False;101532.84120593734;True;False;152.7170900038988;False;False;122.05425841501625;False;False;188.12991480528257;False;False;0.9919717311531782;False;False;1.0;False;False;0.01132267869821761;True;False;0.0;True;False;0x000002990D598108;False;m;0x000002990D598508;False;m;-25852.69372889716;False;36006.676125358215;False;10153.982396461055;False;nan;False
waste heat recovery;heat_exchanger;['heat output'];[None];[-51944224.16380774];['0x00000299030B1948'];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-45632933.93431582;False;False;591687.1653367446;True;False;77.12341353279976;False;False;194.0244472047538;False;False;20.433169906696037;False;False;0.9922396074650427;False;False;0.982834350248632;False;False;0.01407403272550139;True;False;13.707034338667581;True;False;0x0000029906275D88;False;m;0x00000299062758C8;False;m;-99051.63652348994;False;127922.8344346043;False;28871.19791111436;False;nan;False
