label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;Q;Q_set;Q_var;kA;kA_set;kA_var;td_log;td_log_set;td_log_var;ttd_u;ttd_u_set;ttd_u_var;ttd_l;ttd_l_set;ttd_l_var;pr1;pr1_set;pr1_var;pr2;pr2_set;pr2_var;zeta1;zeta1_set;zeta1_var;zeta2;zeta2_set;zeta2_var;kA_char1;kA_char1_set;kA_char1_param;kA_char2;kA_char2_set;kA_char2_param;SQ1;SQ1_set;SQ2;SQ2_set;Sirr;Sirr_set;zero_flag;zero_flag_set
superheater;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-24000541.27811738;False;False;215303.78062450417;False;False;111.4729207657296;False;False;54.35628525268055;False;False;199.04469974370852;False;False;0.99;True;False;0.834;True;False;0.008347776797267665;False;False;113775.0695091653;False;False;0x000002990D7E5508;False;m;0x0000029906CB6E48;False;m;-27938.14327181139;False;37162.04592159105;False;9223.902649779662;False;nan;False
evaporator;heat_exchanger;[];[];[];[];['pr1', 'ttd_l'];['zeta1', 'kA'];nan;False;False;-50258078.02329599;False;False;599088.064594498;False;False;83.89096861296001;False;False;199.04469974370852;False;False;24.99999999987449;True;False;0.99;True;False;1.0;False;False;0.009653807795091559;False;False;0.0;False;False;0x0000029906014648;False;m;0x0000029906277708;False;m;-70355.48848701201;False;84076.79229085457;False;13721.303803842558;False;nan;False
economizer;heat_exchanger;[];[];[];[];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-16737194.231052585;False;False;107079.64840732624;False;False;156.3060252811537;False;False;123.07549382171311;False;False;195.03919154553358;False;False;0.99;True;False;1.0;True;False;0.011322678698205505;False;False;0.0;False;False;0x000002990D598108;False;m;0x000002990D598508;False;m;-27498.04867952684;False;38787.68697752007;False;11289.638297993228;False;nan;False
waste heat recovery;heat_exchanger;['heat output'];[None];[-51944224.16380774];['0x00000299030B1948'];['pr1', 'pr2'];['zeta1', 'zeta2', 'kA'];nan;False;False;-51944224.16380774;False;False;631282.0017963859;False;False;82.2837084155646;False;False;199.99999999987295;False;False;23.3787091638859;False;False;0.9899999999999999;True;False;0.98;True;False;0.014074032725483718;False;False;13.707034338667707;False;False;0x0000029906275D88;False;m;0x00000299062758C8;False;m;-111630.01591682009;False;145764.3302532159;False;34134.31433639582;False;nan;False
