id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;water;water0;water_set;balance
0x0000020E8B5C0788;cycle opener;out1;turbine;in1;['p'];[];nan;False;False;7.871721281685356;kg / s;False;7.871721281685356;False;nan;nan;nan;False;91.13263663598492;bar;False;91.13263663598492;False;nan;nan;nan;False;3386.0230865701865;kJ / kg;False;3386.0230865701865;False;nan;nan;nan;False;500.00000000000193;C;False;500.00000000000193;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.28573205694043563;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x0000020EA58FC808;turbine;out1;condenser;in1;[];[];nan;False;False;7.871721281685357;kg / s;False;7.871721281685357;False;nan;nan;nan;False;0.05603925718619674;bar;False;0.05603925718619674;False;nan;nan;nan;False;2175.7414063653096;kJ / kg;False;2175.7414063653096;False;nan;nan;nan;False;34.91924998207037;C;False;34.91924998207037;False;nan;nan;nan;False;0.8392701624974311;nan;False;nan;False;nan;nan;nan;False;167.22272568712967;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EA58F5588;condenser;out1;pump;in1;[];[];nan;False;False;7.871721281685356;kg / s;False;7.871721281685356;False;nan;nan;nan;False;0.02801962859309837;bar;False;0.02801962859309837;False;nan;nan;nan;False;96.24056414629716;kJ / kg;False;96.24056414629716;False;nan;nan;nan;False;22.946391963434394;C;False;22.946391963434394;False;nan;nan;nan;False;1.6559672189166545e-14;nan;False;nan;False;nan;nan;nan;False;0.00789137579818665;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EAEA772C8;pump;out1;steam generator;in1;[];[];nan;False;False;7.871721281685358;kg / s;False;7.871721281685358;False;nan;nan;nan;False;95.9290911957736;bar;False;95.9290911957736;False;nan;nan;nan;False;108.31694832616223;kJ / kg;False;108.31694832616223;False;nan;nan;nan;False;23.710143518558368;C;False;23.710143518558368;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.007858948304224072;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB12AB408;steam generator;out1;cycle closer;in1;[];[];nan;False;False;7.871721281685358;kg / s;False;7.871721281685358;False;nan;nan;nan;False;91.13263663598492;bar;False;91.13263663598492;False;0x0000020E8B5C0788;1.0;0.0;True;3386.0230865701865;kJ / kg;False;3386.0230865701865;False;0x0000020E8B5C0788;1.0;0.0;True;500.00000000000193;C;False;500.00000000000193;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.2857320569404357;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
0x0000020EB1884F88;cooling water inlet;out1;condenser;in2;[];[];nan;False;False;391.6462502552626;kg / s;False;391.6462502552626;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;84.38240998786605;kJ / kg;False;84.38240998786605;False;nan;nan;nan;False;19.99999999996612;C;False;19.99999999996612;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.39227793447771614;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x0000020EB1CD3348;condenser;out2;cooling water outlet;in1;[];[];nan;False;False;391.6462502552627;kg / s;False;391.6462502552627;False;nan;nan;nan;False;4.916315826362968;bar;False;4.916315826362968;False;nan;nan;nan;False;126.17842111859704;kJ / kg;False;126.17842111859704;False;nan;nan;nan;False;29.99999999998738;C;False;29.99999999998738;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.3932888768157547;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
