label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign;P;P_set;P_var;eta_s;eta_s_set;eta_s_var;pr;pr_set;pr_var;eta_s_char;eta_s_char_set;eta_s_char_param;cone;cone_set;cone_param;Sirr;Sirr_set
turbine_hp;turbine;['power'];[None];[3580539.7685423046];['0x0000020EB1305788'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-2561353.6423428906;False;False;0.8963999999999971;False;False;0.09272178166359027;False;False;0x0000020EB308DCC8;True;m;0x0000020EAE679908;True;nan;609.4571085440183;False
turbine_lp;turbine;['power'];[None];[1504785.8472959537];['0x0000020EB1312D08'];['eta_s'];['eta_s_char', 'cone'];nan;False;False;-1558256.2121882956;False;False;0.8955022087547112;False;False;0.06974656828604224;False;False;0x0000020EB156E508;True;m;0x0000020EB156E908;True;nan;516.5541713263195;False
