,1.05,1.0,0.9,0.8,0.7,0.6
120,4995462.994366667,4727012.075724674,4186464.7641660236,3647715.221396143,3113768.091576734,2584914.5796763767
110,5277752.410544261,5000000.000007306,4436694.797130798,3873883.955147531,3316757.47761499,2765482.496039143
100,5557493.177238654,5266936.998018487,4681959.269111072,4098634.066272682,3518305.521928795,2942214.96617483
95,5699408.728885574,5402343.184413674,4804741.060787722,4208667.209325502,3617872.108320109,3030413.3805779987
90,5838391.38992361,5536650.797044466,4929163.901375568,4320250.852067544,3716298.590465401,3117671.915194928
85,5978736.107097703,5670597.095764717,5051000.239282572,4432459.66814445,3816544.465411163,3204302.502891902
80,6064028.043116241,5764581.3149420805,5158622.653714723,4544010.247430099,3916198.9848373714,3292918.4209019993
75,6144078.179034324,5842220.689635326,5231203.730167978,4615966.206198242,3999015.3387454636,3380737.210549993
70,6218643.870520533,5914408.911782636,5298416.794788561,4678206.350433281,4056061.7122029453,3432382.2295773933
