label;cp;busses;bus_param;bus_P_ref;bus_char;design;offdesign;design_path;local_design;local_offdesign
cycle opener;source;[];[];[];[];[];[];nan;False;False
cooling water inlet;source;[];[];[];[];[];[];nan;False;False
