id;s;s_id;t;t_id;design;offdesign;design_path;local_design;local_offdesign;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;balance
0x000001D4A2AC3708;to collector;out1;solar thermal collector;in1;[];[];nan;False;False;0.1;kg / s;False;0.1;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;84382.40998820146;J / kg;False;84382.40998820146;False;nan;nan;nan;False;20.000000000021373;C;False;20.000000000021373;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00010016128948561249;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;False
0x000001D4A2AC3208;solar thermal collector;out1;from collector;in1;[];[];nan;False;False;0.1;kg / s;False;0.1;True;nan;nan;nan;False;4.95;bar;False;4.95;False;nan;nan;nan;False;419461.84337559895;J / kg;False;419461.84337559895;False;nan;nan;nan;False;100.00000000000273;C;False;100.00000000000273;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00010432599725502615;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;False
